R602.3(3) REQUIREMENTS FOR WOOD STRUCTURAL PANEL WALL SHEATHING USED TO RESIST WIND PRESSURES (inches) [a][b][c],,,,,,,,,,
Minimum Nail Size,"6d common (2.0 x 0.113"")","8d Common
(2.5"" x 0.131"")","8d Common
(2.5"" x 0.131"")",,,,,,,
"Minimum Penetration
(Inches)",1.5,1.75,1.75,,,,,,,
"MINIMUM WOOD
STRUCTURAL
PANEL SPAN
RATING",24/0,24/16,24/16,,,,,,,
"MINIMUM
NOMINAL
PANEL
THICKNESS
(inches)",3/8,7/16,7/16,,,,,,,
"MINIMUM
stud spacing
(inches)",16,16,24,,,,,,,
"Edge Nail Spacing
(Inches o.c.)",6,6,6,,,,,,,
"Field Nail Spacing
(inches o.c.)",12,12,12,,,,,,,
Wind exposure B design speed Vult (mph),140,170,140,,,,,,,
Wind exposure C design speed Vult (mph),115,140,115,,,,,,,
Wind exposure D design speed Vult (mph),110,135,110,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
